,Pos,N°,Driver,Chassis,Engine,Lap,Unnamed: 6,Pts
0,1.0,3.0,Daniel RICCIARDO,Red Bull,TAG Heuer,56.0,1h 35m 36.380s ( 191.451 km/h ),25.0
1,2.0,77.0,Valtteri BOTTAS,Mercedes,Mercedes,56.0,1h 35m 45.274s ( +08.894s ),18.0
2,3.0,7.0,Kimi RAIKKONEN,Ferrari,Ferrari,56.0,1h 35m 46.017s ( +09.637s ),15.0
3,4.0,44.0,Lewis HAMILTON,Mercedes,Mercedes,56.0,1h 35m 53.365s ( +16.985s ),12.0
4,5.0,33.0,Max VERSTAPPEN,Red Bull,TAG Heuer,56.0,10s penalty 1h 35m 56.816s ( +20.436s ),10.0
5,6.0,27.0,Nico HULKENBERG,Renault,Renault,56.0,1h 35m 57.432s ( +21.052s ),8.0
6,7.0,14.0,Fernando ALONSO,McLaren,Renault,56.0,1h 36m 07.019s ( +30.639s ),6.0
7,8.0,5.0,Sebastian VETTEL,Ferrari,Ferrari,56.0,1h 36m 11.666s ( +35.286s ),4.0
8,9.0,55.0,Carlos SAINZ,Renault,Renault,56.0,1h 36m 12.143s ( +35.763s ),2.0
9,10.0,20.0,Kevin MAGNUSSEN,Haas,Ferrari,56.0,1h 36m 15.974s ( +39.594s ),1.0
10,11.0,31.0,Esteban OCON,Force India,Mercedes,56.0,1h 36m 20.430s ( +44.050s ),0.0
11,12.0,11.0,Sergio PEREZ,Force India,Mercedes,56.0,1h 36m 21.105s ( +44.725s ),0.0
12,13.0,2.0,Stoffel VANDOORNE,McLaren,Renault,56.0,1h 36m 25.753s ( +49.373s ),0.0
13,14.0,18.0,Lance STROLL,Williams,Mercedes,56.0,1h 36m 31.870s ( +55.490s ),0.0
14,15.0,35.0,Sergey SIROTKIN,Williams,Mercedes,56.0,1h 36m 34.621s ( +58.241s ),0.0
15,16.0,9.0,Marcus ERICSSON,Sauber,Ferrari,56.0,1h 36m 38.984s ( +1m 02.604s ),0.0
16,17.0,8.0,Romain GROSJEAN,Haas,Ferrari,56.0,1h 36m 41.676s ( +1m 05.296s ),0.0
17,18.0,10.0,Pierre GASLY,Toro Rosso,Honda,56.0,10s penalty 1h 36m 42.710s ( +1m 06.330s ),0.0
18,19.0,16.0,Charles LECLERC,Sauber,Ferrari,56.0,1h 36m 58.955s ( +1m 22.575s ),0.0
19,20.0,28.0,Brendon HARTLEY,Toro Rosso,Honda,51.0,Gearbox,0.0
20,,,,,,,,
